Timestamp,Season,Temperature (°C),Humidity (%),Wind Speed (m/s),Sunlight (W/m²),Building Occupancy,Energy Tariff ($/kWh),Energy Consumption (kWh)
55:35.6,Autumn,12.73,79.28,2.94,960.79,28,0.08,10.73
55:35.6,Autumn,19.22,64.51,8.62,717.15,15,0.12,7.18
55:35.6,Autumn,12.96,71.37,9.61,893.4,48,0.15,13.63
55:35.6,Autumn,11.02,78.82,18.24,747.86,36,0.23,9.42
55:35.6,Autumn,10.6,75.13,15,432.42,23,0.1,9.34
55:35.6,Autumn,16,32.22,11.98,0.54,14,0.11,11.75
55:35.6,Autumn,15.77,62.56,1.14,798.46,17,0.28,13.68
55:35.6,Autumn,11.19,34.14,19.95,920.61,47,0.23,4.94
55:35.6,Autumn,16.2,73.47,14.86,601.44,34,0.14,8.92
55:35.6,Autumn,15.19,66.31,15.12,194.52,36,0.19,16.56
55:35.6,Autumn,15.27,53.31,17.29,756.35,17,0.28,14.32
55:35.6,Autumn,19.02,45.8,11.01,128.64,13,0.2,5.7
55:35.6,Autumn,13.23,69.72,14.76,731.31,18,0.24,12.31
55:35.6,Autumn,13.68,33.12,5.11,374.99,46,0.13,13.47
55:35.6,Autumn,12.08,70.94,18.36,278.51,18,0.14,5.41
55:35.6,Autumn,13.05,55.23,4.93,137.65,19,0.17,10.41
55:35.6,Autumn,10.04,36.66,7.87,425.29,50,0.1,8.15
55:35.6,Autumn,12.63,69.8,9.06,94.8,23,0.09,14.87
55:35.6,Autumn,12.77,56.17,8.7,551.03,31,0.07,5.55
55:35.6,Autumn,19,38.91,18.47,794.21,14,0.11,7.19
55:35.6,Autumn,12.89,47.07,3.32,571,20,0.06,12.67
55:35.6,Autumn,11.77,68.58,6.91,0.35,7,0.08,8.77
55:35.6,Autumn,13.7,41.35,12.1,366.36,48,0.09,10.53
55:35.6,Autumn,14.06,51.95,5.51,909.44,45,0.07,8.96
55:35.6,Autumn,12.65,31.74,5.74,529.76,11,0.12,9.62
55:35.6,Autumn,17.06,74.54,8.71,28.29,22,0.08,8.19
55:35.6,Autumn,15.03,38.68,11.59,267.28,42,0.15,12.97
55:35.6,Autumn,10.43,49.92,12.95,332.41,32,0.28,15.95
55:35.6,Autumn,16.82,53.95,5.56,588,37,0.24,9.81
55:35.6,Autumn,19.17,63.46,18.37,671.81,44,0.13,14.16
55:35.6,Autumn,19.64,61.79,6.69,205.45,34,0.22,16.12
55:35.6,Autumn,13.08,38.44,15.72,128.77,33,0.22,6.93
55:35.6,Autumn,11.03,69.97,2.44,310.28,20,0.17,9.09
55:35.6,Autumn,18.64,61.53,13.88,117.34,36,0.22,13.13
55:35.6,Autumn,18.9,70.23,7.59,43.07,44,0.16,13.48
55:35.6,Autumn,19.96,64.58,4.98,420.65,38,0.28,11.44
55:35.6,Autumn,15.97,35.98,18.1,755.63,16,0.21,13.04
55:35.6,Autumn,12.82,34.22,19.4,198.69,41,0.3,12.06
55:35.6,Autumn,18.61,71.21,14.46,53.26,24,0.25,15.87
55:35.6,Autumn,19.24,47.4,14.98,987.02,21,0.29,14.16
55:35.6,Autumn,13.87,70.62,10.63,796.42,8,0.13,13.29
55:35.6,Autumn,13.02,73.64,14.64,847.61,41,0.12,6.2
55:35.6,Autumn,11.4,73.98,15.73,215.35,33,0.13,16.07
55:35.6,Autumn,19.87,49.28,3.22,260.13,21,0.14,12.78
55:35.6,Autumn,14.33,47.03,14.02,173.69,27,0.14,10.18
55:35.6,Autumn,15.74,72.46,8,140.89,19,0.08,10.97
55:35.6,Autumn,19.01,71.03,4.67,700.55,23,0.13,10.68
55:35.6,Autumn,18.45,62.4,4.01,55.82,19,0.14,7.06
55:35.6,Autumn,16.94,46.63,11.72,625.04,19,0.06,9.61
55:35.6,Autumn,10.26,39.81,15.29,15.1,16,0.07,16.6
55:35.6,Autumn,16.18,56.7,2.14,167.57,15,0.07,15.35
55:35.6,Autumn,19.25,43.63,4.27,842.85,160,0.28,14.31
55:35.6,Autumn,18.33,77.34,18.2,49.8,188,0.11,17.18
55:35.6,Autumn,17.44,40.11,7.1,698.73,112,0.18,13.81
55:35.6,Autumn,12.99,45.36,4.63,761.89,63,0.19,8.91
55:35.6,Autumn,18.96,43.43,12.78,673.23,73,0.27,16.2
55:35.6,Autumn,16.07,52.42,0.7,652.12,65,0.27,11.41
55:35.6,Autumn,13.52,44.74,13.15,630.12,77,0.27,14.58
55:35.6,Autumn,12.11,30.93,7.09,769.45,164,0.23,17.17
55:35.6,Autumn,11.75,48.11,3.97,5.39,181,0.2,12.48
55:35.6,Autumn,10.83,72.19,9.89,877.79,163,0.15,12.85
55:35.6,Autumn,19.14,32.29,17.96,243.31,131,0.13,9.14
55:35.6,Autumn,11.07,48.23,8.42,293.59,28,0.11,7.89
55:35.6,Autumn,10.11,77.24,17.2,301.22,12,0.24,16.04
55:35.6,Autumn,18.66,75.01,1.59,278.22,12,0.06,12.92
55:35.6,Autumn,13.17,31.4,1.53,20.44,14,0.15,13.02
55:35.6,Autumn,17.74,75.22,17.07,235.9,27,0.06,16.5
55:35.6,Autumn,18,64.91,18.89,249.93,7,0.12,7.53
55:35.6,Autumn,16.52,51.06,9.78,905.27,17,0.15,8.15
55:35.6,Autumn,16.35,57.51,15.2,725.26,13,0.05,7.24
55:35.6,Autumn,14.41,52.9,4.45,590.59,14,0.1,11.45
55:35.6,Autumn,11.99,76.21,10.03,82.21,10,0.15,7.94
55:35.6,Autumn,19.18,48.78,14.82,211.47,21,0.13,15.44
55:35.6,Autumn,13.06,79.1,6.36,309.85,22,0.07,7.04
55:35.6,Autumn,11.89,34.54,2.16,957.42,22,0.1,8.28
55:35.6,Autumn,12.13,60.49,10.1,756.11,122,0.3,14.59
55:35.6,Autumn,11.17,32.38,10.68,880.23,57,0.17,12.19
55:35.6,Autumn,12.93,42.21,17.03,591.31,106,0.14,7.5
55:35.6,Autumn,18.21,47.09,18.88,335.25,175,0.11,9.31
55:35.6,Autumn,13.91,31.31,4.5,805.58,63,0.3,7.09
55:35.6,Autumn,19.33,50.82,2.29,467.78,138,0.19,7.72
55:35.6,Autumn,12.76,47.04,2.06,8.66,80,0.28,15.27
55:35.6,Autumn,18,74.16,14.26,758.12,103,0.17,15.73
55:35.6,Autumn,18.97,54.28,18.81,919.25,191,0.11,12.47
55:35.6,Autumn,14.63,41.7,19.94,298.41,105,0.27,13.29
55:35.6,Autumn,15.95,39.94,13.23,32,109,0.24,11.16
55:35.6,Autumn,17.74,38.18,10.94,189.36,11,0.28,9.76
55:35.6,Autumn,18.46,44.36,0.12,111.6,15,0.26,9.07
55:35.6,Autumn,18.56,71.62,13.38,54.68,18,0.06,9.45
55:35.6,Autumn,12.13,69.14,8.77,498.1,25,0.11,5.57
55:35.6,Autumn,18.61,70.35,1.21,46.7,8,0.09,9.42
55:35.6,Autumn,13.11,39.71,15.54,12.65,6,0.12,13.67
55:35.6,Autumn,12.27,42.87,10.84,27.5,25,0.12,15.43
55:35.6,Autumn,12.07,59.99,0.76,386.43,14,0.15,6.53
55:35.6,Autumn,19.18,43.81,2.81,738.51,10,0.08,7.86
55:35.6,Autumn,11.01,48.99,8.13,815.65,10,0.06,12.62
55:35.6,Autumn,18.98,38.18,5.61,438.61,8,0.13,14.75
55:35.6,Autumn,12.6,79.81,6.41,983.28,7,0.11,7.31
55:35.6,Autumn,14.2,71.84,2.43,414.66,20,0.06,16.06
55:35.6,Autumn,16.79,53.93,16.36,679.24,116,0.18,16.59
55:35.6,Autumn,19.23,41.1,10.06,215.47,172,0.11,13.48
55:35.6,Autumn,15.42,41.02,16.2,430.65,104,0.29,17.62
55:35.6,Autumn,16.8,44.77,4.42,17.16,135,0.25,11.42
55:35.6,Autumn,17.6,39.23,12.88,76.71,87,0.29,11.51
55:35.6,Autumn,19.98,73.79,14.97,635.15,192,0.13,13.7
55:35.6,Autumn,16.16,39.93,14.69,480.31,104,0.18,10.75
55:35.6,Autumn,11.36,65.91,11.37,240.05,132,0.17,16.83
55:35.6,Autumn,19.23,53.93,3.76,462.25,96,0.29,14.12
55:35.6,Autumn,16.5,47.65,15.79,688.67,191,0.2,15.19
55:35.6,Autumn,17.66,57.82,9.6,431.42,93,0.11,8.13
55:35.6,Autumn,12.47,69.84,5.98,489.95,26,0.13,12.05
55:35.6,Autumn,18.53,65.54,15.23,691.6,25,0.11,9.15
55:35.6,Autumn,10.08,71.36,2.79,194.71,15,0.07,5.53
55:35.6,Autumn,12.86,30.26,2.71,278.59,9,0.08,6.71
55:35.6,Autumn,10.21,64.03,6.29,409.15,19,0.06,13.71
55:35.6,Autumn,19.98,58.92,16.98,205.79,14,0.05,16.16
55:35.6,Autumn,14.58,65.61,12.82,256.8,27,0.12,12.91
55:35.6,Autumn,18.31,58.73,13.1,218.69,12,0.11,12.81
55:35.6,Autumn,12.68,50.24,3.05,77.94,16,0.15,13.45
55:35.6,Autumn,12.62,50.43,1.57,229.37,20,0.12,10.11
55:35.6,Autumn,15.81,39.8,2.93,433.12,27,0.12,10.3
55:35.6,Autumn,17.87,43.33,18.75,236.47,29,0.12,12.02
55:35.6,Autumn,14.65,53.06,9.43,645.91,20,0.05,5.73
55:35.6,Autumn,13.67,32.3,9.93,344.77,185,0.17,13.45
55:35.6,Autumn,10.78,64.74,1.54,392.94,123,0.2,9.91
55:35.6,Autumn,14.82,69.46,10.88,18.44,139,0.18,13.31
55:35.6,Autumn,11.07,33.14,11.59,585.64,177,0.29,15.63
55:35.6,Autumn,10.78,55.48,15.36,470.46,142,0.22,16.65
55:35.6,Autumn,14.8,34.25,4.86,475.38,68,0.26,6.27
55:35.6,Autumn,17.35,43.09,7.29,647.03,150,0.22,14.38
55:35.6,Autumn,17.72,51.09,9.4,769.58,190,0.12,13.88
55:35.6,Autumn,13.37,52.66,5.59,728.43,90,0.13,8.64
55:35.6,Autumn,13.77,79.97,8.3,39.49,139,0.12,15.29
55:35.6,Autumn,18.89,58.6,18.23,149.58,96,0.24,10
55:35.6,Autumn,16.26,67.05,4.74,372.3,12,0.15,15.96
55:35.6,Autumn,19.22,46.86,18.04,418.71,29,0.22,10.86
55:35.6,Autumn,19.18,39.23,2.85,704.99,24,0.13,10.05
55:35.6,Autumn,18.98,60.22,17.8,415.2,22,0.09,9.11
55:35.6,Autumn,16.29,70.58,1.11,277.31,20,0.09,10.48
55:35.6,Autumn,17.05,41.86,10.13,682.58,21,0.11,9.22
55:35.6,Autumn,19.27,31.1,0.02,355.76,12,0.07,15.57
55:35.6,Autumn,18.41,39.21,16.12,909.15,5,0.11,14.3
55:35.6,Autumn,11.35,71.81,10.6,123.12,5,0.07,10.87
55:35.6,Autumn,17.97,54.01,14.1,184.1,29,0.14,16.55
55:35.6,Autumn,16.5,75.34,3.83,852.92,24,0.07,14.88
55:35.6,Autumn,19.88,31.51,16.44,502.93,22,0.06,11.25
55:35.6,Autumn,14.12,54.93,18.05,258.26,27,0.09,7.96
55:35.6,Autumn,12.01,39.8,5.84,461.51,141,0.17,7.93
55:35.6,Autumn,16.45,72.88,4.35,286.75,54,0.22,10.85
55:35.6,Autumn,12.82,43.24,7.02,784.33,168,0.11,7.96
55:35.6,Autumn,16.41,54.65,14.99,247.22,162,0.11,15.71
55:35.6,Autumn,19.8,77.19,6.01,143.02,129,0.21,13.89
55:35.6,Autumn,11.19,43.27,18.36,670.82,71,0.2,9.22
55:35.6,Autumn,11.98,30.6,14.76,372.36,187,0.27,9.22
55:35.6,Autumn,18.85,79.35,8.88,721.61,52,0.14,13.67
55:35.6,Autumn,19.79,76.37,2.65,565.75,51,0.15,10.07
55:35.6,Autumn,19.08,49.62,14.39,684.22,147,0.2,7.9
55:35.6,Autumn,17.43,54.66,9.47,276.85,113,0.23,16.98
55:35.6,Autumn,16.52,49.48,4.84,338.47,12,0.1,11.19
55:35.6,Autumn,11.73,45.52,13.58,72.59,22,0.26,9.59
55:35.6,Autumn,11.78,52.04,19.9,863.83,8,0.13,4.35
55:35.6,Autumn,12.07,43.89,1.88,792.39,13,0.12,11.42
55:35.6,Autumn,19.18,41.38,6.51,578.83,20,0.11,9.99
55:35.6,Autumn,16.13,31.47,14.26,649.06,35,0.06,8.67
55:35.6,Autumn,19.21,63.78,15.94,242.23,14,0.1,13.79
55:35.6,Autumn,15.33,70.51,3.07,72.9,39,0.08,9.48
55:35.6,Autumn,19.19,58.61,7.26,366.3,11,0.15,15.42
55:35.6,Autumn,19.16,66.74,7.81,694.25,24,0.08,4.72
55:35.6,Autumn,10.36,78.29,7.76,535.21,26,0.08,15.75
55:35.6,Autumn,11.9,37.74,18.89,885.87,23,0.13,4.7
55:35.6,Autumn,10.25,69.57,4.51,971.79,12,0.12,9
55:35.6,Autumn,14.43,72.45,17.17,338.72,21,0.13,5.86
55:35.6,Autumn,12.68,45.08,3.23,557.37,19,0.19,10.57
55:35.6,Autumn,10.21,38.56,4.79,486.05,5,0.17,7.1
55:35.6,Autumn,12.12,37.69,4.55,854.69,41,0.2,12.98
55:35.6,Autumn,11.41,59.02,5.03,645.17,23,0.23,6.73
55:35.6,Autumn,15.41,62.21,7.49,750.6,17,0.15,15.26
55:35.6,Autumn,10.64,50.15,10.29,167.04,37,0.29,10.76
55:35.6,Autumn,15.3,66.82,14.95,446.99,16,0.17,14.27
55:35.6,Autumn,15.66,46.22,16.47,716.38,30,0.28,14.71
55:35.6,Autumn,19.3,41.27,12.3,652.88,34,0.12,5.57
55:35.6,Autumn,13.09,48.38,6.99,974.04,9,0.29,11.96
55:35.6,Autumn,17.89,79.71,6.67,201.71,41,0.21,9.69
55:35.6,Autumn,15.51,64.72,14.93,522.5,21,0.11,12.74
55:35.6,Autumn,18.64,61.31,5.2,622.17,9,0.06,15.03
55:35.6,Autumn,18.76,68.31,17.96,612.8,44,0.05,10.38
55:35.6,Autumn,17.31,76.51,5.77,151.05,26,0.06,12.16
55:35.6,Autumn,15.52,30.88,18.15,399.84,44,0.1,13.86
55:35.6,Autumn,16.98,77.93,2.79,296.09,22,0.13,13.22
55:35.6,Autumn,15.1,57.57,19.07,792.47,21,0.14,10.77
55:35.6,Autumn,13.16,46.14,5.81,541.85,48,0.09,14.51
55:35.6,Autumn,11.89,56.15,0.79,760.13,20,0.08,6.67
55:35.6,Autumn,17.06,56.22,4.97,894.43,44,0.14,10.93
55:35.6,Autumn,13.2,43.32,0.56,98.12,17,0.05,14.24
55:35.6,Autumn,17.27,42.99,2.09,215.96,21,0.1,12.12
55:35.6,Autumn,19.48,35.79,1.95,358.42,23,0.17,9.29
55:35.6,Autumn,12,70.51,4.73,856.18,44,0.13,10.72
55:35.6,Autumn,10.54,34.57,6.34,763.97,20,0.28,12.18
55:35.6,Autumn,11.83,78.16,11.88,971.64,34,0.22,11.12
55:35.6,Autumn,17.73,43.05,19.14,972.98,40,0.28,5.84
55:35.6,Autumn,11.51,50.42,16.83,798.98,12,0.11,8.35
55:35.6,Autumn,19.15,45.11,3.05,670.9,15,0.2,6.34
55:35.6,Autumn,10.4,69.03,14.94,755.36,44,0.25,13.31
55:35.6,Autumn,10.71,48.39,16.97,708.28,6,0.16,6.17
55:35.6,Autumn,10.38,42.54,19.79,41.87,32,0.27,6.62
55:35.6,Autumn,15.14,51.59,17.48,548.33,36,0.27,14.17
55:35.6,Autumn,17.88,53.65,13.31,471.94,33,0.27,6.58
55:35.6,Autumn,16.63,60.24,12.49,236.56,50,0.23,14.16
55:35.6,Autumn,18.41,57.6,0.11,121.73,7,0.13,15.33
55:35.6,Autumn,19.83,52.67,6.98,20.71,24,0.09,14.32
55:35.6,Autumn,17.4,65.9,14.73,612.65,30,0.1,7.03
55:35.6,Autumn,10.97,74.35,0.48,549.18,24,0.06,6.51
55:35.6,Autumn,19.1,44.43,3.73,512.27,21,0.1,7.33
55:35.6,Autumn,13.87,45.02,18.72,548.24,8,0.09,8.15
55:35.6,Autumn,11.46,44.19,18.65,89.28,27,0.07,16.25
55:35.6,Autumn,11.03,46.89,14.51,379.86,12,0.07,6.18
55:35.6,Autumn,12.67,39.01,7.46,242.64,26,0.05,6.22
55:35.6,Autumn,19.6,35.38,5.63,676.19,10,0.1,12.9
55:35.6,Autumn,14.56,31.04,3.42,985.73,22,0.12,8.73
55:35.6,Autumn,17.08,32.93,0.47,612.11,133,0.15,9.65
55:35.6,Autumn,16.6,32.47,7.31,74.51,155,0.24,18.42
55:35.6,Autumn,11.13,77.22,9.53,480.33,111,0.2,14.74
55:35.6,Autumn,16.91,62.65,18.05,490.13,121,0.25,9.33
55:35.6,Autumn,13.2,45.03,10.93,791.92,104,0.22,7.37
55:35.6,Autumn,14.78,33.44,0.51,662.8,55,0.23,11.7
55:35.6,Autumn,14.02,56.43,1.85,22.42,117,0.27,18.97
55:35.6,Autumn,16.86,62.05,19.18,175.1,133,0.27,15.95
55:35.6,Autumn,16.03,74.17,12.37,304.79,71,0.25,8.64
55:35.6,Autumn,13.3,38.14,7.53,12.08,124,0.24,14.08
55:35.6,Autumn,11.05,68.43,5.2,597.92,181,0.28,17.36
55:35.6,Autumn,19.86,35.72,19.95,133.21,5,0.2,10.73
55:35.6,Autumn,16.28,61.99,9.93,682.43,24,0.29,5.48
55:35.6,Autumn,10.77,47.5,15.57,375.61,6,0.1,11.97
55:35.6,Autumn,18.33,35.5,19.34,256.3,17,0.05,7.08
55:35.6,Autumn,14.95,67.78,0.68,738.95,23,0.1,4.57
55:35.6,Autumn,10.1,65.91,12.01,970.94,16,0.07,7.66
55:35.6,Autumn,12.72,36.78,7.94,832.66,29,0.05,10.77
55:35.6,Autumn,14.99,39.37,15.35,211.77,17,0.15,8.79
55:35.6,Autumn,13.53,66.64,15.59,796.08,5,0.1,6.21
55:35.6,Autumn,13.03,60.79,11.45,138.86,8,0.11,11.85
55:35.6,Autumn,16.82,63.69,3.72,639.04,27,0.12,14.09
55:35.6,Autumn,11.76,58.63,9.16,111,6,0.08,8.34
55:35.6,Autumn,10.84,41.73,5,366.92,22,0.06,6.36
55:35.6,Autumn,12.13,66.25,16.83,694.56,119,0.24,17.4
55:35.6,Autumn,16.74,77.93,7.78,945.67,114,0.21,14.08
55:35.6,Autumn,18.02,62.44,17.27,243.79,85,0.27,16.11
55:35.6,Autumn,14.07,53.14,3.51,36.78,119,0.12,13.39
55:35.6,Autumn,14.72,73.84,11.68,956.77,175,0.12,7.56
55:35.6,Autumn,18.02,78.59,6.65,429.42,146,0.16,17.17
55:35.6,Autumn,17.71,73.41,15.63,19.88,88,0.18,18.45
55:35.6,Autumn,12.3,36.32,16.15,813.17,55,0.13,10.78
55:35.6,Autumn,15.7,60.27,17.53,155.19,76,0.14,14.56
55:35.6,Autumn,19.17,40.29,16.89,756.16,53,0.21,6.69
55:35.6,Autumn,14.84,67.84,6.02,883.32,177,0.19,8.33
55:35.6,Autumn,14.71,76.83,13.56,222.14,23,0.22,14.32
55:35.6,Autumn,14.57,58.76,2.2,1.94,26,0.11,14.4
55:35.6,Autumn,14.22,60.05,5.3,798.66,21,0.1,8.12
55:35.6,Autumn,18.82,79.88,2.04,431.42,9,0.11,5.82
55:35.6,Autumn,17.99,57.01,1.21,120.76,23,0.09,15.67
55:35.6,Autumn,17.67,79.82,6.6,292.83,28,0.15,6.63
55:35.6,Autumn,17.48,36.55,10.24,163.71,13,0.1,7.32
55:35.6,Autumn,12.7,79.74,10.52,885.09,13,0.06,9.04
55:35.6,Autumn,16.84,40.81,16.22,279.37,20,0.07,9.7
55:35.6,Autumn,12.43,55.55,3.14,347.21,30,0.12,8.74
55:35.6,Autumn,15.56,55.34,6.89,805.25,15,0.13,8.88
55:35.6,Autumn,19.56,57.29,16.09,379.39,27,0.12,12.11
55:35.6,Autumn,15.68,48.4,7.1,405.74,12,0.13,11.63
55:35.6,Autumn,15.76,61.63,10.97,152.17,159,0.29,13.49
55:35.6,Autumn,12.67,38.3,13,429.51,53,0.16,10.79
55:35.6,Autumn,17.94,33.37,1.21,824.52,160,0.25,13.31
55:35.6,Autumn,11.27,31.65,1.72,516.62,131,0.22,17.06
55:35.6,Autumn,17.42,74.2,5.89,523.63,80,0.29,15.9
55:35.6,Autumn,19.55,72.42,4.29,276,175,0.12,9.24
55:35.6,Autumn,10.21,42.92,12.51,544.04,116,0.17,10.64
55:35.6,Autumn,18.38,59.41,14.62,232.36,198,0.18,20.08
55:35.6,Autumn,19.45,36.02,10.84,421.65,159,0.12,17.33
55:35.6,Autumn,15.26,54.61,9.71,728.4,75,0.3,10.4
55:35.6,Autumn,14.45,66.6,11.78,175.75,52,0.19,16.59
55:35.6,Autumn,11.06,38.73,3.98,11.05,28,0.14,9.87
55:35.6,Autumn,10.6,45.04,14.59,396.69,7,0.16,5.49
55:35.6,Autumn,16.15,45.36,5.52,844.66,10,0.14,14.37
55:35.6,Autumn,14.76,32.96,8.23,800.53,21,0.15,9.4
55:35.6,Autumn,12.08,70.85,7.99,30.61,20,0.08,9.25
55:35.6,Autumn,16.19,37.65,17.21,63.04,26,0.05,16.37
55:35.6,Autumn,13.69,35.8,10.81,789.58,5,0.06,6.07
55:35.6,Autumn,16.82,43.35,3,14.54,22,0.13,7.43
55:35.6,Autumn,14.56,37.78,0.44,319.46,20,0.1,15.69
55:35.6,Autumn,15.19,46.79,5.63,797.59,6,0.06,10.61
55:35.6,Autumn,14.51,46.37,17.65,371.3,6,0.09,12
55:35.6,Autumn,11.35,76.4,8.23,461.08,20,0.08,14.45
55:35.6,Autumn,15.13,51.56,5.59,482.03,7,0.05,13.73
55:35.6,Autumn,10.03,45.42,18.67,233.86,100,0.21,8.7
55:35.6,Autumn,10.26,37.6,10.22,127.02,116,0.12,13.47
55:35.6,Autumn,17.42,41.88,3.21,954.72,95,0.26,10.95
55:35.6,Autumn,17.39,37.9,8.75,633.73,134,0.11,8.67
55:35.6,Autumn,17.2,43.94,10.21,967.43,142,0.25,13.28
55:35.6,Autumn,16.45,63.41,6.28,279.44,76,0.13,8.19
55:35.6,Autumn,16.79,36.64,6.08,276.64,76,0.16,11.48
55:35.6,Autumn,13.39,65.04,7.14,687.36,172,0.29,14.62
55:35.6,Autumn,17.42,33.99,0.34,727.18,102,0.29,11.02
55:35.6,Autumn,14.81,30.68,8.62,23.45,136,0.16,18.33
55:35.6,Autumn,14.27,67.3,3.71,402.91,82,0.18,17.35
55:35.6,Autumn,17.79,33.86,4.7,910.99,19,0.18,9.23
55:35.6,Autumn,16.03,59.79,18.91,843.23,5,0.25,14.85
55:35.6,Autumn,10.8,65.81,6.89,582.78,23,0.12,12.75
55:35.6,Autumn,12.29,42.95,10.18,906.43,10,0.1,5.74
55:35.6,Autumn,11.17,79.39,13.03,751.12,28,0.08,7.2
55:35.6,Autumn,16.03,46,6.04,695.21,10,0.15,14.71
55:35.6,Autumn,18.39,63.22,1.69,682.05,7,0.15,8.79
55:35.6,Autumn,18.64,42.8,4.3,544.6,18,0.06,7.25
55:35.6,Autumn,10.63,49.22,1.74,392.17,25,0.13,9.47
55:35.6,Autumn,12.5,64.88,11.17,149.21,27,0.08,8.64
55:35.6,Autumn,11.03,56.67,13.07,977.05,17,0.07,6.76
55:35.6,Autumn,12.54,32.78,9.3,236.59,17,0.07,5.88
55:35.6,Autumn,15.78,79.43,4.15,634.8,26,0.09,10.36
55:35.6,Autumn,16.01,71.56,8.9,204.74,183,0.17,12.02
55:35.6,Autumn,10.36,45.43,1.63,555.92,115,0.28,10.85
55:35.6,Autumn,13.14,37.18,9.02,914.61,193,0.24,10.19
55:35.6,Autumn,15.82,32.46,7.99,961.98,159,0.26,9.67
55:35.6,Autumn,13.16,46.75,1.81,82.87,59,0.17,7.29
55:35.6,Autumn,14.09,70.27,5.3,499.36,136,0.18,17.1
55:35.6,Autumn,11.95,75.35,9.82,254.36,198,0.25,16.84
55:35.6,Autumn,18.65,34.87,10.35,196.89,52,0.24,8.59
55:35.6,Autumn,19.78,36.64,3.49,32.93,79,0.18,7.32
55:35.6,Autumn,17.84,63.2,19.32,171.97,121,0.2,13.28
55:35.6,Autumn,12.08,65.87,5.83,815.49,185,0.24,18.29
55:35.6,Autumn,15.41,34.74,14.91,321.31,5,0.26,9.77
55:35.6,Autumn,15.7,51.62,14.27,625.79,7,0.17,14.26
55:35.6,Autumn,14.36,35.11,15.49,368.44,12,0.06,5.11
55:35.6,Autumn,11.11,39.38,7.42,587.73,12,0.11,14.53
55:35.6,Autumn,12.79,43.56,2.91,480.03,29,0.07,6.68
55:35.6,Autumn,19.51,67.95,0.41,889.49,8,0.11,7.8
55:35.6,Autumn,13.66,47.94,1.38,777.04,48,0.09,13.14
55:35.6,Autumn,10.83,63.64,19.02,632.77,37,0.08,14.17
55:35.6,Autumn,15.3,51.43,15.24,934.49,27,0.06,9.08
55:35.6,Autumn,18.86,70.83,0.68,243.03,49,0.07,16.55
55:35.6,Autumn,18.71,44.96,17.76,70.92,5,0.05,7.65
55:35.6,Autumn,11.32,71.98,13.96,787.32,15,0.11,11.79
55:35.6,Autumn,18.81,46.21,3.25,486.18,8,0.14,6.9
55:35.6,Autumn,17.86,30.81,2.85,856.79,39,0.23,7.61
55:35.6,Autumn,18.09,52.33,9.55,222.65,39,0.2,7.75
55:35.6,Autumn,10.43,45.45,14.42,138.83,14,0.23,12.89
55:35.6,Autumn,16.62,57.14,0.15,759.68,24,0.24,8.03
55:35.6,Autumn,10.34,34.77,0.23,830.29,11,0.26,6.47
55:35.6,Autumn,17.4,44.59,3.17,357.53,43,0.3,16.19
55:35.6,Autumn,19.31,32.03,2.4,563.46,48,0.12,15.22
55:35.6,Autumn,16.46,63.26,4.49,740.83,12,0.28,13.01
55:35.6,Autumn,10.57,57.75,1.28,116.42,47,0.12,11.18
55:35.6,Autumn,19.73,76.81,10.43,125.59,15,0.23,8.43
55:35.6,Autumn,19.55,56.67,5.67,253.35,22,0.15,9.65
55:35.6,Autumn,10.94,34.94,4.99,129.23,38,0.28,9.13
55:35.6,Autumn,19.68,44.87,1.66,864.57,14,0.17,5.51
55:35.6,Autumn,19.6,51.63,2.46,491.72,16,0.09,6.18
55:35.6,Autumn,17,69.49,5.16,991.02,18,0.13,8.24
55:35.6,Autumn,15.03,66.06,16.48,116.74,14,0.06,8.34
55:35.6,Autumn,18.06,54.99,6.19,775.77,45,0.1,9.12
55:35.6,Autumn,19.12,73.88,13.47,989.63,16,0.11,9.51
55:35.6,Autumn,14.4,30.73,14.32,399.23,23,0.09,6.33
55:35.6,Autumn,15.04,68.25,7.78,430.8,49,0.06,7.29
55:35.6,Autumn,14.37,42.52,17.86,511.4,48,0.07,14.32
55:35.6,Autumn,13.21,57.37,16.05,873.31,30,0.09,4.36
55:35.6,Autumn,10.27,45.78,2.94,120.93,26,0.08,13.15
55:35.6,Autumn,17.06,56.01,9.61,231.58,26,0.05,15.71
55:35.6,Autumn,15.46,43.81,1.61,525.41,17,0.22,9.18
55:35.6,Autumn,17.44,46.2,8.89,714.44,48,0.15,13.68
55:35.6,Autumn,14.12,43.72,13.36,503.27,24,0.16,10.56
55:35.6,Autumn,11.88,39.92,0.75,794.81,27,0.19,10.66
55:35.6,Autumn,18.96,52.37,14.77,952.54,26,0.28,14.3
55:35.6,Autumn,13.4,58.26,7.86,84.07,39,0.16,11.2
55:35.6,Autumn,16.23,32.95,6.53,44.12,12,0.26,7.55
55:35.6,Autumn,13.34,45.76,13.13,485.51,24,0.14,8.11
55:35.6,Autumn,18.9,47.52,17.66,965.23,40,0.24,5.71
55:35.6,Autumn,13.07,77.43,18.48,518.68,33,0.17,5.83
55:35.6,Autumn,16.57,37.3,18.22,483.42,19,0.18,15.43
55:35.6,Autumn,19.75,58.05,8.05,474.73,26,0.27,12.53
55:35.6,Autumn,11.25,66.32,14.17,465.73,49,0.29,6.79
55:35.6,Autumn,13.21,57.1,14.55,804.25,7,0.09,11.28
